sess_id,seqnum,tradedate,tradetime,ticker,clgroup,pos,pos_long,pos_short,pos_long_num,pos_short_num,systime,trade_session_date
6978,59,2024-01-25,23:50:00,Si,YUR,-193392,2295271,-2488663,310,120,2025-06-21 16:22:46,2024-01-25
6978,59,2024-01-25,23:50:00,Si,FIZ,193392,527169,-333777,11610,6460,2025-06-21 16:22:46,2024-01-25
6978,13,2024-01-25,20:00:00,Si,YUR,-193675,2294991,-2488666,310,119,2025-06-21 16:22:46,2024-01-25
6978,13,2024-01-25,20:00:00,Si,FIZ,193675,530963,-337288,11709,6578,2025-06-21 16:22:46,2024-01-25
6977,141,2024-01-25,16:00:00,Si,YUR,-214302,2286524,-2500826,309,117,2025-06-21 16:22:46,2024-01-25
6977,141,2024-01-25,16:00:00,Si,FIZ,214302,533365,-319063,11402,6389,2025-06-21 16:22:46,2024-01-25
6977,94,2024-01-25,12:00:00,Si,YUR,-162484,2302646,-2465130,309,115,2025-06-21 16:22:46,2024-01-25
6977,94,2024-01-25,12:00:00,Si,FIZ,162484,494218,-331734,10418,6414,2025-06-21 16:22:46,2024-01-25
6977,59,2024-01-25,09:05:00,Si,YUR,-167205,2296374,-2463579,297,116,2025-06-21 16:22:46,2024-01-25
6977,59,2024-01-25,09:05:00,Si,FIZ,167205,492312,-325107,10014,6265,2025-06-21 16:22:46,2024-01-25
6979,57,2024-01-26,23:50:00,Si,YUR,-137561,2285651,-2423212,301,127,2025-06-21 16:22:46,2024-01-26
6979,57,2024-01-26,23:50:00,Si,FIZ,137561,514342,-376781,10815,6858,2025-06-21 16:22:46,2024-01-26
6979,11,2024-01-26,20:00:00,Si,YUR,-138020,2285834,-2423854,306,127,2025-06-21 16:22:46,2024-01-26
6979,11,2024-01-26,20:00:00,Si,FIZ,138020,515884,-377864,11017,7034,2025-06-21 16:22:46,2024-01-26
6978,143,2024-01-26,16:00:00,Si,YUR,-159587,2290501,-2450088,314,128,2025-06-21 16:22:46,2024-01-26
6978,143,2024-01-26,16:00:00,Si,FIZ,159587,531288,-371701,11690,7032,2025-06-21 16:22:46,2024-01-26
6978,96,2024-01-26,12:00:00,Si,YUR,-183782,2282401,-2466183,323,120,2025-06-21 16:22:46,2024-01-26
6978,96,2024-01-26,12:00:00,Si,FIZ,183782,530422,-346640,12112,6617,2025-06-21 16:22:46,2024-01-26
6980,57,2024-01-29,23:50:00,Si,YUR,-112789,2362322,-2475111,299,116,2025-06-21 16:22:46,2024-01-29
6980,57,2024-01-29,23:50:00,Si,FIZ,112789,480393,-367604,9981,7556,2025-06-21 16:22:46,2024-01-29
6980,11,2024-01-29,20:00:00,Si,YUR,-112846,2361712,-2474558,300,115,2025-06-21 16:22:46,2024-01-29
6980,11,2024-01-29,20:00:00,Si,FIZ,112846,482729,-369883,10011,7670,2025-06-21 16:22:46,2024-01-29
6979,142,2024-01-29,16:00:00,Si,YUR,-128012,2338703,-2466715,300,116,2025-06-21 16:22:46,2024-01-29
6979,142,2024-01-29,16:00:00,Si,FIZ,128012,480658,-352646,10947,6976,2025-06-21 16:22:46,2024-01-29
6979,94,2024-01-29,12:00:00,Si,YUR,-130710,2305653,-2436363,312,119,2025-06-21 16:22:46,2024-01-29
6979,94,2024-01-29,12:00:00,Si,FIZ,130710,488482,-357772,10563,7267,2025-06-21 16:22:46,2024-01-29
6976,57,2024-01-23,23:50:00,Si,YUR,-148195,2301654,-2449849,297,122,2025-06-21 16:22:46,2024-01-23
6976,57,2024-01-23,23:50:00,Si,FIZ,148195,486385,-338190,10209,6800,2025-06-21 16:22:46,2024-01-23
6976,11,2024-01-23,20:00:00,Si,YUR,-166813,2280251,-2447064,299,121,2025-06-21 16:22:46,2024-01-23
6976,11,2024-01-23,20:00:00,Si,FIZ,166813,500767,-333954,10560,6834,2025-06-21 16:22:46,2024-01-23
6975,141,2024-01-23,16:00:00,Si,YUR,-150464,2286957,-2437421,307,126,2025-06-21 16:22:46,2024-01-23
6975,141,2024-01-23,16:00:00,Si,FIZ,150464,494517,-344053,10414,7595,2025-06-21 16:22:46,2024-01-23
6975,94,2024-01-23,12:00:00,Si,YUR,-108829,2273305,-2382134,286,142,2025-06-21 16:22:46,2024-01-23
6975,94,2024-01-23,12:00:00,Si,FIZ,108829,473953,-365124,9224,8165,2025-06-21 16:22:46,2024-01-23
6984,58,2024-02-02,23:50:00,Si,YUR,-93722,2605992,-2699714,297,118,2025-06-21 16:22:46,2024-02-02
6984,58,2024-02-02,23:50:00,Si,FIZ,93722,470698,-376976,9898,7153,2025-06-21 16:22:46,2024-02-02
6984,12,2024-02-02,20:00:00,Si,YUR,-97436,2603403,-2700839,297,118,2025-06-21 16:22:46,2024-02-02
6984,12,2024-02-02,20:00:00,Si,FIZ,97436,479424,-381988,10434,7266,2025-06-21 16:22:46,2024-02-02
6983,141,2024-02-02,16:00:00,Si,YUR,-111877,2618221,-2730098,294,133,2025-06-21 16:22:46,2024-02-02
6983,141,2024-02-02,16:00:00,Si,FIZ,111877,513844,-401967,11145,7602,2025-06-21 16:22:46,2024-02-02
6983,94,2024-02-02,12:00:00,Si,YUR,-138224,2603851,-2742075,301,125,2025-06-21 16:22:46,2024-02-02
6983,94,2024-02-02,12:00:00,Si,FIZ,138224,505687,-367463,11305,7319,2025-06-21 16:22:46,2024-02-02
6983,58,2024-02-02,09:00:00,Si,YUR,-130030,2588219,-2718249,302,115,2025-06-21 16:22:46,2024-02-02
6983,58,2024-02-02,09:00:00,Si,FIZ,130030,494984,-364954,10783,7159,2025-06-21 16:22:46,2024-02-02
6983,57,2024-02-01,23:50:00,Si,YUR,-130168,2588079,-2718247,301,115,2025-06-21 16:22:46,2024-02-01
6983,57,2024-02-01,23:50:00,Si,FIZ,130168,495023,-364855,10789,7151,2025-06-21 16:22:46,2024-02-01
6983,11,2024-02-01,20:00:00,Si,YUR,-130696,2587247,-2717943,301,112,2025-06-21 16:22:46,2024-02-01
6983,11,2024-02-01,20:00:00,Si,FIZ,130696,502261,-371565,11075,7259,2025-06-21 16:22:46,2024-02-01
6982,143,2024-02-01,16:00:00,Si,YUR,-124469,2575554,-2700023,297,127,2025-06-21 16:22:46,2024-02-01
6982,143,2024-02-01,16:00:00,Si,FIZ,124469,507531,-383062,11231,7253,2025-06-21 16:22:46,2024-02-01
6982,96,2024-02-01,12:00:00,Si,YUR,-127322,2518579,-2645901,311,113,2025-06-21 16:22:46,2024-02-01
6982,96,2024-02-01,12:00:00,Si,FIZ,127322,505533,-378211,11149,7170,2025-06-21 16:22:46,2024-02-01
6966,59,2024-01-09,23:50:00,Si,YUR,-117358,2532188,-2649546,243,150,2025-06-21 16:22:46,2024-01-09
6966,59,2024-01-09,23:50:00,Si,FIZ,117358,416494,-299136,7402,6443,2025-06-21 16:22:46,2024-01-09
6966,13,2024-01-09,20:00:00,Si,YUR,-124748,2524810,-2649558,245,152,2025-06-21 16:22:46,2024-01-09
6966,13,2024-01-09,20:00:00,Si,FIZ,124748,427717,-302969,7762,6871,2025-06-21 16:22:46,2024-01-09
6965,141,2024-01-09,16:00:00,Si,YUR,-124444,2532083,-2656527,247,156,2025-06-21 16:22:46,2024-01-09
6965,141,2024-01-09,16:00:00,Si,FIZ,124444,429192,-304748,7735,7259,2025-06-21 16:22:46,2024-01-09
6965,94,2024-01-09,12:00:00,Si,YUR,-137817,2517333,-2655150,270,125,2025-06-21 16:22:46,2024-01-09
6965,94,2024-01-09,12:00:00,Si,FIZ,137817,409776,-271959,7672,5622,2025-06-21 16:22:46,2024-01-09
6965,59,2024-01-09,09:05:00,Si,YUR,-148175,2506514,-2654689,263,131,2025-06-21 16:22:46,2024-01-09
6965,59,2024-01-09,09:05:00,Si,FIZ,148175,417750,-269575,7668,4793,2025-06-21 16:22:46,2024-01-09
6972,59,2024-01-17,23:50:00,Si,YUR,-132273,2279419,-2411692,279,126,2025-06-21 16:22:46,2024-01-17
6972,59,2024-01-17,23:50:00,Si,FIZ,132273,459306,-327033,9461,6698,2025-06-21 16:22:46,2024-01-17
6972,13,2024-01-17,20:00:00,Si,YUR,-133762,2278717,-2412479,277,129,2025-06-21 16:22:46,2024-01-17
6972,13,2024-01-17,20:00:00,Si,FIZ,133762,461988,-328226,9692,6794,2025-06-21 16:22:46,2024-01-17
6971,144,2024-01-17,16:00:00,Si,YUR,-143664,2270178,-2413842,284,130,2025-06-21 16:22:46,2024-01-17
6971,144,2024-01-17,16:00:00,Si,FIZ,143664,468570,-324906,9617,7464,2025-06-21 16:22:46,2024-01-17
6971,97,2024-01-17,12:00:00,Si,YUR,-146899,2271419,-2418318,279,134,2025-06-21 16:22:46,2024-01-17
6971,97,2024-01-17,12:00:00,Si,FIZ,146899,475671,-328772,9808,7690,2025-06-21 16:22:46,2024-01-17
6987,57,2024-02-07,23:50:00,Si,YUR,-135848,2606592,-2742440,287,125,2025-06-21 16:22:46,2024-02-07
6987,57,2024-02-07,23:50:00,Si,FIZ,135848,453362,-317514,10124,7439,2025-06-21 16:22:46,2024-02-07
6987,11,2024-02-07,20:00:00,Si,YUR,-136556,2606193,-2742749,290,126,2025-06-21 16:22:46,2024-02-07
6987,11,2024-02-07,20:00:00,Si,FIZ,136556,455395,-318839,10282,7494,2025-06-21 16:22:46,2024-02-07
6986,142,2024-02-07,16:00:00,Si,YUR,-141034,2598947,-2739981,294,128,2025-06-21 16:22:46,2024-02-07
6986,142,2024-02-07,16:00:00,Si,FIZ,141034,468103,-327069,10675,7951,2025-06-21 16:22:46,2024-02-07
6986,95,2024-02-07,12:00:00,Si,YUR,-148151,2568032,-2716183,301,125,2025-06-21 16:22:46,2024-02-07
6986,95,2024-02-07,12:00:00,Si,FIZ,148151,478247,-330096,10940,7731,2025-06-21 16:22:46,2024-02-07
6986,57,2024-02-06,23:50:00,Si,YUR,-106652,2582083,-2688735,301,109,2025-06-21 16:22:46,2024-02-06
6986,57,2024-02-06,23:50:00,Si,FIZ,106652,460723,-354071,10383,7820,2025-06-21 16:22:46,2024-02-06
6986,11,2024-02-06,20:00:00,Si,YUR,-106723,2581960,-2688683,296,112,2025-06-21 16:22:46,2024-02-06
6986,11,2024-02-06,20:00:00,Si,FIZ,106723,464075,-357352,10586,7834,2025-06-21 16:22:46,2024-02-06
6985,141,2024-02-06,16:00:00,Si,YUR,-91446,2574681,-2666127,301,118,2025-06-21 16:22:46,2024-02-06
6985,141,2024-02-06,16:00:00,Si,FIZ,91446,446004,-354558,10609,8092,2025-06-21 16:22:46,2024-02-06
6985,94,2024-02-06,12:00:00,Si,YUR,-51539,2561524,-2613063,281,133,2025-06-21 16:22:46,2024-02-06
6985,94,2024-02-06,12:00:00,Si,FIZ,51539,426360,-374821,10284,8339,2025-06-21 16:22:46,2024-02-06
6988,57,2024-02-08,23:50:00,Si,YUR,-104290,2711200,-2815490,290,119,2025-06-21 16:22:46,2024-02-08
6988,57,2024-02-08,23:50:00,Si,FIZ,104290,430793,-326503,9504,8536,2025-06-21 16:22:46,2024-02-08
6988,11,2024-02-08,20:00:00,Si,YUR,-103702,2711284,-2814986,290,120,2025-06-21 16:22:46,2024-02-08
6988,11,2024-02-08,20:00:00,Si,FIZ,103702,434171,-330469,9609,8650,2025-06-21 16:22:46,2024-02-08
6987,141,2024-02-08,16:00:00,Si,YUR,-128602,2670174,-2798776,305,124,2025-06-21 16:22:46,2024-02-08
6987,141,2024-02-08,16:00:00,Si,FIZ,128602,442448,-313846,10361,7780,2025-06-21 16:22:46,2024-02-08
6987,94,2024-02-08,12:00:00,Si,YUR,-132725,2626636,-2759361,290,135,2025-06-21 16:22:46,2024-02-08
6987,94,2024-02-08,12:00:00,Si,FIZ,132725,451499,-318774,10321,7801,2025-06-21 16:22:46,2024-02-08
6989,59,2024-02-09,23:50:00,Si,YUR,-43552,2730589,-2774141,256,147,2025-06-21 16:22:46,2024-02-09
